package,structType,structName,structId,opType,opName,FieldRead,FieldWrite,VariableRead,VariableWrite,Lambda,Literal,Conditional,ForLoop,WhileLoop,ConstructorCall,Invocation,Return,BinaryOperator
CH.ifa.draw.applet,class,DrawApplet,CH.ifa.draw.applet.DrawApplet,method,createAttributeChoices,3,2,3,0,0,3,0,0,0,3,3,0,0
CH.ifa.draw.applet,class,DrawApplet,CH.ifa.draw.applet.DrawApplet,method,createAttributesPanel,0,0,2,0,0,2,0,0,0,2,1,1,0
CH.ifa.draw.applet,class,DrawApplet,CH.ifa.draw.applet.DrawApplet,method,createButtonPanel,0,0,2,0,0,2,0,0,0,2,1,1,0
CH.ifa.draw.applet,class,DrawApplet,CH.ifa.draw.applet.DrawApplet,method,createButtons,3,1,3,3,2,3,2,0,1,3,3,0,2
CH.ifa.draw.applet,class,DrawApplet,CH.ifa.draw.applet.DrawApplet,method,createColorChoice,1,0,3,1,0,1,0,1,0,2,2,1,1
CH.ifa.draw.applet,class,DrawApplet,CH.ifa.draw.applet.DrawApplet,method,createDrawing,0,0,0,0,0,0,0,0,0,1,0,1,0
CH.ifa.draw.applet,class,DrawApplet,CH.ifa.draw.applet.DrawApplet,method,createDrawingView,0,0,0,0,0,2,0,0,0,1,0,1,0
CH.ifa.draw.applet,class,DrawApplet,CH.ifa.draw.applet.DrawApplet,method,createFontChoice,2,0,3,1,0,2,0,1,0,2,2,1,1
CH.ifa.draw.applet,class,DrawApplet,CH.ifa.draw.applet.DrawApplet,method,createSelectionTool,0,0,0,0,0,0,0,0,0,1,1,1,0
CH.ifa.draw.applet,class,DrawApplet,CH.ifa.draw.applet.DrawApplet,method,createToolButton,0,0,2,0,0,0,0,0,0,1,0,1,0
CH.ifa.draw.applet,class,DrawApplet,CH.ifa.draw.applet.DrawApplet,method,createToolPalette,0,0,2,0,0,2,0,0,0,2,1,1,0
CH.ifa.draw.applet,class,DrawApplet,CH.ifa.draw.applet.DrawApplet,method,createTools,2,1,2,0,0,2,0,0,0,0,2,0,1
CH.ifa.draw.applet,class,DrawApplet,CH.ifa.draw.applet.DrawApplet,method,drawing,1,0,0,0,0,0,0,0,0,0,0,1,0
CH.ifa.draw.applet,class,DrawApplet,CH.ifa.draw.applet.DrawApplet,method,guessType,0,0,2,0,0,2,2,0,0,0,2,2,0
CH.ifa.draw.applet,class,DrawApplet,CH.ifa.draw.applet.DrawApplet,method,init,1,2,3,0,0,2,0,0,0,2,3,0,0
CH.ifa.draw.applet,class,DrawApplet,CH.ifa.draw.applet.DrawApplet,method,initDrawing,2,1,0,0,0,0,0,0,0,0,2,0,0
CH.ifa.draw.applet,class,DrawApplet,CH.ifa.draw.applet.DrawApplet,method,loadDrawing,2,0,2,0,0,1,2,0,0,0,2,1,2
CH.ifa.draw.applet,class,DrawApplet,CH.ifa.draw.applet.DrawApplet,method,paletteUserOver,1,0,2,0,0,0,1,0,0,0,2,0,0
CH.ifa.draw.applet,class,DrawApplet,CH.ifa.draw.applet.DrawApplet,method,paletteUserSelected,0,0,2,0,0,0,0,0,0,0,2,0,0
