Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
JHotDraw-5.1-clean,CH.ifa.draw.applet,DrawApplet,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
JHotDraw-5.1-clean,CH.ifa.draw.applet,DrawApplet,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: fDrawing; fTool; fView; fDefaultToolButton; fSelectedToolButton; fSimpleUpdate; fUpdateButton; fFrameColor; fFillColor; fArrowChoice; fFontChoice; fSleeper; fIconkit; fgUntitled; fgDrawPath; IMAGES
JHotDraw-5.1-clean,CH.ifa.draw.applet,DrawApplet,Insufficient Modularization,The tool detected the smell in this class because the class contains large number of methods. Total methods in the class: 37 methods
JHotDraw-5.1-clean,CH.ifa.draw.application,DrawApplication,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
JHotDraw-5.1-clean,CH.ifa.draw.application,DrawApplication,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: fDrawing; fTool; fIconkit; fStatusLine; fView; fDefaultToolButton; fSelectedToolButton; fDrawingFilename; fgUntitled; fgDrawPath; IMAGES; FILE_MENU; EDIT_MENU; ALIGNMENT_MENU; ATTRIBUTES_MENU
JHotDraw-5.1-clean,CH.ifa.draw.application,DrawApplication,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 27 public methods
JHotDraw-5.1-clean,CH.ifa.draw.contrib,ChopPolygonConnector,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
JHotDraw-5.1-clean,CH.ifa.draw.contrib,DiamondFigure,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
JHotDraw-5.1-clean,CH.ifa.draw.contrib,PolygonFigure,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 35 public methods
JHotDraw-5.1-clean,CH.ifa.draw.contrib,PolygonHandle,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
