Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
JHotDraw-5.1-clean,CH.ifa.draw.applet,DrawApplet,createAttributesPanel,Magic Number,The method contains a magic number: 2,100
JHotDraw-5.1-clean,CH.ifa.draw.applet,DrawApplet,createAttributesPanel,Magic Number,The method contains a magic number: 2,100
JHotDraw-5.1-clean,CH.ifa.draw.applet,DrawApplet,createAttributesPanel,Magic Number,The method contains a magic number: 2,100
JHotDraw-5.1-clean,CH.ifa.draw.applet,DrawApplet,createColorChoice,Long Statement,The length of the statement "for (int i=0; i < ColorMap.size(); i++) choice.addItem(new ChangeAttributeCommand(ColorMap.name(i)`attribute`ColorMap.color(i)`fView));" is 135.,140
JHotDraw-5.1-clean,CH.ifa.draw.applet,DrawApplet,createButtonPanel,Magic Number,The method contains a magic number: 2,169
JHotDraw-5.1-clean,CH.ifa.draw.applet,DrawApplet,createButtonPanel,Magic Number,The method contains a magic number: 2,169
JHotDraw-5.1-clean,CH.ifa.draw.applet,DrawApplet,createButtonPanel,Magic Number,The method contains a magic number: 2,169
JHotDraw-5.1-clean,CH.ifa.draw.applet,DrawApplet,createButtons,Magic Number,The method contains a magic number: 24,178
JHotDraw-5.1-clean,CH.ifa.draw.applet,DrawApplet,createButtons,Magic Number,The method contains a magic number: 20,178
JHotDraw-5.1-clean,CH.ifa.draw.applet,DrawApplet,createButtons,Magic Number,The method contains a magic number: 6,178
JHotDraw-5.1-clean,CH.ifa.draw.applet,DrawApplet,createButtons,Magic Number,The method contains a magic number: 20,178
JHotDraw-5.1-clean,CH.ifa.draw.applet,DrawApplet,createToolPalette,Magic Number,The method contains a magic number: 2,251
JHotDraw-5.1-clean,CH.ifa.draw.applet,DrawApplet,createToolPalette,Magic Number,The method contains a magic number: 2,251
JHotDraw-5.1-clean,CH.ifa.draw.applet,DrawApplet,createToolPalette,Magic Number,The method contains a magic number: 2,251
JHotDraw-5.1-clean,CH.ifa.draw.applet,DrawApplet,createDrawingView,Magic Number,The method contains a magic number: 410,298
JHotDraw-5.1-clean,CH.ifa.draw.applet,DrawApplet,createDrawingView,Magic Number,The method contains a magic number: 370,298
JHotDraw-5.1-clean,CH.ifa.draw.applet,SleeperThread,run,Magic Number,The method contains a magic number: 50,535
JHotDraw-5.1-clean,CH.ifa.draw.application,DrawApplication,createAlignmentMenu,Magic Number,The method contains a magic number: 4,237
JHotDraw-5.1-clean,CH.ifa.draw.application,DrawApplication,createAlignmentMenu,Magic Number,The method contains a magic number: 4,237
JHotDraw-5.1-clean,CH.ifa.draw.application,DrawApplication,createColorMenu,Long Statement,The length of the statement "for (int i=0; i < ColorMap.size(); i++) menu.add(new ChangeAttributeCommand(ColorMap.name(i)`attribute`ColorMap.color(i)`fView));" is 129.,301
JHotDraw-5.1-clean,CH.ifa.draw.application,DrawApplication,createToolPalette,Magic Number,The method contains a magic number: 2,370
JHotDraw-5.1-clean,CH.ifa.draw.application,DrawApplication,createToolPalette,Magic Number,The method contains a magic number: 2,370
JHotDraw-5.1-clean,CH.ifa.draw.application,DrawApplication,createToolPalette,Magic Number,The method contains a magic number: 2,370
JHotDraw-5.1-clean,CH.ifa.draw.application,DrawApplication,getDrawingViewSize,Magic Number,The method contains a magic number: 400,419
JHotDraw-5.1-clean,CH.ifa.draw.application,DrawApplication,getDrawingViewSize,Magic Number,The method contains a magic number: 600,419
JHotDraw-5.1-clean,CH.ifa.draw.application,DrawApplication,createContents,Magic Number,The method contains a magic number: 16,436
JHotDraw-5.1-clean,CH.ifa.draw.application,DrawApplication,createContents,Magic Number,The method contains a magic number: 16,436
JHotDraw-5.1-clean,CH.ifa.draw.application,DrawApplication,defaultSize,Magic Number,The method contains a magic number: 430,460
JHotDraw-5.1-clean,CH.ifa.draw.application,DrawApplication,defaultSize,Magic Number,The method contains a magic number: 406,460
JHotDraw-5.1-clean,CH.ifa.draw.application,DrawApplication,createStatusLine,Magic Number,The method contains a magic number: 40,467
JHotDraw-5.1-clean,CH.ifa.draw.application,DrawApplication,stripTrailingAsterisks,Magic Number,The method contains a magic number: 4,670
JHotDraw-5.1-clean,CH.ifa.draw.contrib,DiamondFigure,polygon,Magic Number,The method contains a magic number: 2,30
JHotDraw-5.1-clean,CH.ifa.draw.contrib,DiamondFigure,polygon,Magic Number,The method contains a magic number: 2,30
JHotDraw-5.1-clean,CH.ifa.draw.contrib,DiamondFigure,polygon,Magic Number,The method contains a magic number: 2,30
JHotDraw-5.1-clean,CH.ifa.draw.contrib,DiamondFigure,polygon,Magic Number,The method contains a magic number: 2,30
JHotDraw-5.1-clean,CH.ifa.draw.contrib,DiamondFigure,connectionInsets,Magic Number,The method contains a magic number: 2,49
JHotDraw-5.1-clean,CH.ifa.draw.contrib,DiamondFigure,connectionInsets,Magic Number,The method contains a magic number: 2,49
JHotDraw-5.1-clean,CH.ifa.draw.contrib,DiamondFigure,connectionInsets,Magic Number,The method contains a magic number: 2,49
JHotDraw-5.1-clean,CH.ifa.draw.contrib,DiamondFigure,connectionInsets,Magic Number,The method contains a magic number: 2,49
JHotDraw-5.1-clean,CH.ifa.draw.contrib,PolygonFigure,isEmpty,Magic Number,The method contains a magic number: 3,51
JHotDraw-5.1-clean,CH.ifa.draw.contrib,PolygonFigure,scaleRotate,Magic Number,The method contains a magic number: 0.5,178
JHotDraw-5.1-clean,CH.ifa.draw.contrib,PolygonFigure,scaleRotate,Magic Number,The method contains a magic number: 0.5,178
JHotDraw-5.1-clean,CH.ifa.draw.contrib,PolygonFigure,smoothPoints,Long Statement,The length of the statement "if ((distanceFromLine(fPoly.xpoints[prv]`fPoly.ypoints[prv]`fPoly.xpoints[nxt]`fPoly.ypoints[nxt]`fPoly.xpoints[i]`fPoly.ypoints[i]) < TOO_CLOSE)) {" is 148.,214
JHotDraw-5.1-clean,CH.ifa.draw.contrib,PolygonFigure,smoothPoints,Magic Number,The method contains a magic number: 3,214
JHotDraw-5.1-clean,CH.ifa.draw.contrib,PolygonFigure,distanceFromLine,Long Parameter List,The method has 6 parameters. ,346
JHotDraw-5.1-clean,CH.ifa.draw.contrib,PolygonHandle,invokeStep,Long Parameter List,The method has 5 parameters. ,36
JHotDraw-5.1-clean,CH.ifa.draw.contrib,PolygonHandle,invokeEnd,Long Parameter List,The method has 5 parameters. ,40
JHotDraw-5.1-clean,CH.ifa.draw.contrib,PolygonScaleHandle,getOrigin,Magic Number,The method contains a magic number: 2,53
