Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest
JHotDraw-5.1-clean,CH.ifa.draw.applet,DrawApplet,init,18,1,0,57,0
JHotDraw-5.1-clean,CH.ifa.draw.applet,DrawApplet,createAttributesPanel,5,1,0,100,0
JHotDraw-5.1-clean,CH.ifa.draw.applet,DrawApplet,createAttributeChoices,19,1,1,109,0
JHotDraw-5.1-clean,CH.ifa.draw.applet,DrawApplet,createColorChoice,5,2,1,140,0
JHotDraw-5.1-clean,CH.ifa.draw.applet,DrawApplet,createFontChoice,6,2,0,157,0
JHotDraw-5.1-clean,CH.ifa.draw.applet,DrawApplet,createButtonPanel,5,1,0,169,0
JHotDraw-5.1-clean,CH.ifa.draw.applet,DrawApplet,createButtons,45,6,1,178,0
JHotDraw-5.1-clean,CH.ifa.draw.applet,DrawApplet,itemStateChanged,5,2,1,203,0
JHotDraw-5.1-clean,CH.ifa.draw.applet,DrawApplet,actionPerformed,3,1,1,229,0
JHotDraw-5.1-clean,CH.ifa.draw.applet,DrawApplet,actionPerformed,4,2,1,239,0
JHotDraw-5.1-clean,CH.ifa.draw.applet,DrawApplet,createToolPalette,5,1,0,251,0
JHotDraw-5.1-clean,CH.ifa.draw.applet,DrawApplet,createTools,5,1,1,260,0
JHotDraw-5.1-clean,CH.ifa.draw.applet,DrawApplet,createSelectionTool,3,1,0,273,0
JHotDraw-5.1-clean,CH.ifa.draw.applet,DrawApplet,createToolButton,3,1,3,281,0
JHotDraw-5.1-clean,CH.ifa.draw.applet,DrawApplet,createDrawing,3,1,0,288,0
JHotDraw-5.1-clean,CH.ifa.draw.applet,DrawApplet,createDrawingView,3,1,0,298,0
JHotDraw-5.1-clean,CH.ifa.draw.applet,DrawApplet,paletteUserSelected,5,1,1,308,0
JHotDraw-5.1-clean,CH.ifa.draw.applet,DrawApplet,paletteUserOver,4,2,2,318,0
JHotDraw-5.1-clean,CH.ifa.draw.applet,DrawApplet,drawing,3,1,0,329,0
JHotDraw-5.1-clean,CH.ifa.draw.applet,DrawApplet,tool,3,1,0,337,0
JHotDraw-5.1-clean,CH.ifa.draw.applet,DrawApplet,view,3,1,0,345,0
JHotDraw-5.1-clean,CH.ifa.draw.applet,DrawApplet,toolDone,4,1,0,353,0
JHotDraw-5.1-clean,CH.ifa.draw.applet,DrawApplet,selectionChanged,3,1,1,362,0
JHotDraw-5.1-clean,CH.ifa.draw.applet,DrawApplet,initDrawing,5,1,0,371,0
JHotDraw-5.1-clean,CH.ifa.draw.applet,DrawApplet,setTool,8,3,2,377,0
JHotDraw-5.1-clean,CH.ifa.draw.applet,DrawApplet,setSelected,5,3,1,387,0
JHotDraw-5.1-clean,CH.ifa.draw.applet,DrawApplet,loadDrawing,9,3,1,395,0
JHotDraw-5.1-clean,CH.ifa.draw.applet,DrawApplet,readDrawing,7,3,1,407,0
JHotDraw-5.1-clean,CH.ifa.draw.applet,DrawApplet,readFromStorableInput,14,1,1,418,0
JHotDraw-5.1-clean,CH.ifa.draw.applet,DrawApplet,readFromObjectInput,18,1,1,433,0
JHotDraw-5.1-clean,CH.ifa.draw.applet,DrawApplet,guessType,5,3,1,450,0
JHotDraw-5.1-clean,CH.ifa.draw.applet,DrawApplet,setupAttributes,20,4,0,458,0
JHotDraw-5.1-clean,CH.ifa.draw.applet,DrawApplet,setSimpleDisplayUpdate,5,1,0,484,0
JHotDraw-5.1-clean,CH.ifa.draw.applet,DrawApplet,setBufferedDisplayUpdate,5,1,0,490,0
JHotDraw-5.1-clean,CH.ifa.draw.applet,DrawApplet,showHelp,10,1,0,496,0
JHotDraw-5.1-clean,CH.ifa.draw.applet,DrawApplet,startSleeper,4,2,0,511,0
JHotDraw-5.1-clean,CH.ifa.draw.applet,DrawApplet,stopSleeper,3,2,0,520,0
JHotDraw-5.1-clean,CH.ifa.draw.applet,SleeperThread,SleeperThread,3,1,1,531,0
JHotDraw-5.1-clean,CH.ifa.draw.applet,SleeperThread,run,11,2,0,535,0
JHotDraw-5.1-clean,CH.ifa.draw.application,DrawApplication,DrawApplication,3,1,0,68,0
JHotDraw-5.1-clean,CH.ifa.draw.application,DrawApplication,DrawApplication,3,1,1,75,0
JHotDraw-5.1-clean,CH.ifa.draw.application,DrawApplication,open,20,1,0,82,0
JHotDraw-5.1-clean,CH.ifa.draw.application,DrawApplication,addListeners,8,1,0,116,0
JHotDraw-5.1-clean,CH.ifa.draw.application,DrawApplication,windowClosing,3,1,1,122,0
JHotDraw-5.1-clean,CH.ifa.draw.application,DrawApplication,initDrawing,6,1,0,129,0
JHotDraw-5.1-clean,CH.ifa.draw.application,DrawApplication,createMenus,7,1,1,136,0
JHotDraw-5.1-clean,CH.ifa.draw.application,DrawApplication,createFileMenu,54,1,0,148,0
JHotDraw-5.1-clean,CH.ifa.draw.application,DrawApplication,actionPerformed,3,1,1,157,0
JHotDraw-5.1-clean,CH.ifa.draw.application,DrawApplication,actionPerformed,3,1,1,167,0
JHotDraw-5.1-clean,CH.ifa.draw.application,DrawApplication,actionPerformed,3,1,1,177,0
JHotDraw-5.1-clean,CH.ifa.draw.application,DrawApplication,actionPerformed,3,1,1,187,0
JHotDraw-5.1-clean,CH.ifa.draw.application,DrawApplication,actionPerformed,3,1,1,197,0
JHotDraw-5.1-clean,CH.ifa.draw.application,DrawApplication,actionPerformed,3,1,1,207,0
JHotDraw-5.1-clean,CH.ifa.draw.application,DrawApplication,createEditMenu,16,1,0,216,0
JHotDraw-5.1-clean,CH.ifa.draw.application,DrawApplication,createAlignmentMenu,13,1,0,237,0
JHotDraw-5.1-clean,CH.ifa.draw.application,DrawApplication,createDebugMenu,20,1,0,255,0
JHotDraw-5.1-clean,CH.ifa.draw.application,DrawApplication,actionPerformed,3,1,1,265,0
JHotDraw-5.1-clean,CH.ifa.draw.application,DrawApplication,actionPerformed,3,1,1,275,0
JHotDraw-5.1-clean,CH.ifa.draw.application,DrawApplication,createAttributesMenu,12,1,0,284,0
JHotDraw-5.1-clean,CH.ifa.draw.application,DrawApplication,createColorMenu,5,2,2,301,0
JHotDraw-5.1-clean,CH.ifa.draw.application,DrawApplication,createArrowMenu,8,1,0,318,0
JHotDraw-5.1-clean,CH.ifa.draw.application,DrawApplication,createFontMenu,6,2,0,330,0
JHotDraw-5.1-clean,CH.ifa.draw.application,DrawApplication,createFontStyleMenu,7,1,0,342,0
JHotDraw-5.1-clean,CH.ifa.draw.application,DrawApplication,createFontSizeMenu,8,2,0,353,0
JHotDraw-5.1-clean,CH.ifa.draw.application,DrawApplication,createToolPalette,6,1,0,370,0
JHotDraw-5.1-clean,CH.ifa.draw.application,DrawApplication,createTools,5,1,1,380,0
JHotDraw-5.1-clean,CH.ifa.draw.application,DrawApplication,createSelectionTool,3,1,0,393,0
JHotDraw-5.1-clean,CH.ifa.draw.application,DrawApplication,createToolButton,3,1,3,401,0
JHotDraw-5.1-clean,CH.ifa.draw.application,DrawApplication,createDrawingView,4,1,0,408,0
JHotDraw-5.1-clean,CH.ifa.draw.application,DrawApplication,getDrawingViewSize,3,1,0,419,0
JHotDraw-5.1-clean,CH.ifa.draw.application,DrawApplication,createDrawing,3,1,0,426,0
JHotDraw-5.1-clean,CH.ifa.draw.application,DrawApplication,createContents,9,1,1,436,0
